pub_date,title,section,web_url,trail_text,body_text,source,event,era,origin_file,text_for_analysis,text_length,has_full_text,likely_relevant,vader_compound,vader_pos,vader_neg,vader_neu,tb_polarity,tb_subjectivity
,Jimmy Kimmel Misses the Old Facebook,Arts,https://www.nytimes.com/2021/10/27/arts/television/jimmy-kimmel-facebook.html,Kimmel reminisced about the days when the social media app was “just a safe place to lose your house in a pyramid scheme.”,"Kimmel reminisced about the days when the social media app was “just a safe place to lose your house in a pyramid scheme.” Welcome to Best of Late Night, a rundown of the previous night’s highlights that lets you sleep — and lets us get paid to watch comedy. Here are the 50 best movies on Netflix right now.",nyt,facebook_2021,pre_ai,nyt_facebook_2021_month,"Kimmel reminisced about the days when the social media app was “just a safe place to lose your house in a pyramid scheme.” Welcome to Best of Late Night, a rundown of the previous night’s highlights that lets you sleep — and lets us get paid to watch comedy. Here are the 50 best movies on Netflix right now.",308,True,True,-0.2263,0.0,0.275,0.725,0.1,0.2
,Facebook Is Bad. Fixing It Rashly Could Make It Much Worse.,Opinion,https://www.nytimes.com/2021/10/27/opinion/facebook-regulation-section-230.html,Lawmakers should proceed cautiously when altering the rules governing the internet.,"Lawmakers should proceed cautiously when altering the rules governing the internet. The nicest thing you can say about the Health Misinformation Act, proposed in July by the Democratic senators Amy Klobuchar and Ben Ray Luján, is that it means well. The internet has been a key accelerant of widespread myths, misunderstandings and lies related to Covid-19; Klobuchar and Luján’s bill would force online companies like Facebook to crack down on false information during public health emergencies, or lose immunity from lawsuits if they don’t.",nyt,facebook_2021,pre_ai,nyt_facebook_2021_month,"Lawmakers should proceed cautiously when altering the rules governing the internet. The nicest thing you can say about the Health Misinformation Act, proposed in July by the Democratic senators Amy Klobuchar and Ben Ray Luján, is that it means well. The internet has been a key accelerant of widespread myths, misunderstandings and lies related to Covid-19; Klobuchar and Luján’s bill would force online companies like Facebook to crack down on false information during public health emergencies, or lose immunity from lawsuits if they don’t.",542,True,True,-0.765,0.0,0.423,0.577,-0.5499999999999999,0.6333333333333333
,Cloudflare Says It Has Resolved Outage That Disrupted Parts of the Internet,Business,https://www.nytimes.com/2025/11/18/business/cloudflare-down-challenges-error.html,"Services from Cloudflare, a software company, underpin thousands of websites, including X, Spotify and OpenAI. The company said a crash in a software system was to blame.","Services from Cloudflare, a software company, underpin thousands of websites, including X, Spotify and OpenAI. The company said a crash in a software system was to blame.",nyt,cloudflare_2025,post_ai,nyt_cloudflare_2025,"Services from Cloudflare, a software company, underpin thousands of websites, including X, Spotify and OpenAI. The company said a crash in a software system was to blame.",170,False,True,0.1779,0.134,0.0,0.866,0.0,0.0
,Here’s what to know about the outages.,U.S.,https://www.nytimes.com/live/2024/07/19/business/global-tech-outage/crowdstrike-outage-flights-banks,"Airlines, banks and broadcasters reported disruptions, citing technical issues.","Airlines, banks and broadcasters reported disruptions, citing technical issues.",nyt,crowdstrike_2024,post_ai,nyt_crowdstrike_2024,"Airlines, banks and broadcasters reported disruptions, citing technical issues.",79,False,True,0.0,0.0,0.0,1.0,0.0,0.0
,Airlines Restart Flights but Disruptions are Expected to Persist,Travel,https://www.nytimes.com/2024/07/19/travel/tech-outage-us-airlines-ground-stops.html,"Planes began taking off again Friday morning after a big tech outage, but it will take airlines a while to get stranded passengers to their destinations.","Planes began taking off again Friday morning after a big tech outage, but it will take airlines a while to get stranded passengers to their destinations.",nyt,crowdstrike_2024,post_ai,nyt_crowdstrike_2024,"Planes began taking off again Friday morning after a big tech outage, but it will take airlines a while to get stranded passengers to their destinations.",153,False,True,-0.4767,0.0,0.279,0.721,-0.1,0.4
,Chaos and Confusion: Tech Outage Causes Disruptions Worldwide,Business,https://www.nytimes.com/2024/07/19/business/microsoft-outage-cause-azure-crowdstrike.html,"Airlines, hospitals and people’s computers were affected after CrowdStrike, a cybersecurity company, sent out a flawed software update.","Airlines, hospitals and people’s computers were affected after CrowdStrike, a cybersecurity company, sent out a flawed software update.",nyt,crowdstrike_2024,post_ai,nyt_crowdstrike_2024,"Airlines, hospitals and people’s computers were affected after CrowdStrike, a cybersecurity company, sent out a flawed software update.",135,False,True,-0.8074,0.0,0.624,0.376,0.0,0.0
,What We Know About the Global Microsoft Outage,Technology,https://www.nytimes.com/2024/07/19/technology/microsoft-crowdstrike-outage-what-happened.html,Airlines to banks to retailers were affected in many countries. Businesses are struggling to recover.,Airlines to banks to retailers were affected in many countries. Businesses are struggling to recover.,nyt,crowdstrike_2024,post_ai,nyt_crowdstrike_2024,Airlines to banks to retailers were affected in many countries. Businesses are struggling to recover.,101,False,True,0.0,0.0,0.0,1.0,0.0,0.0
,Counting the Costs of a Global IT Outage,Business,https://www.nytimes.com/2024/07/19/business/dealbook/tech-outage-crowdstrike-microsoft.html,"A “historic” tech failure alarmed investors, after a security update caused problems for Microsoft devices and services, and took down businesses worldwide.","A “historic” tech failure alarmed investors, after a security update caused problems for Microsoft devices and services, and took down businesses worldwide.",nyt,crowdstrike_2024,post_ai,nyt_crowdstrike_2024,"A “historic” tech failure alarmed investors, after a security update caused problems for Microsoft devices and services, and took down businesses worldwide.",156,False,True,0.0,0.0,0.0,1.0,0.0,0.0
,"Banks were hit with short-lived glitches, but trading in the U.S. began as expected.",Business,https://www.nytimes.com/live/2024/07/19/business/global-tech-outage/global-it-outage-banks-trading-stocks,Some financial transactions were delayed as bankers around the world rushed to find workarounds.,Some financial transactions were delayed as bankers around the world rushed to find workarounds.,nyt,crowdstrike_2024,post_ai,nyt_crowdstrike_2024,Some financial transactions were delayed as bankers around the world rushed to find workarounds.,96,False,True,0.0,0.0,0.0,1.0,-0.1,0.4
,Traveling Today? What You Need to Know About the Global Tech Outage.,Travel,https://www.nytimes.com/2024/07/19/travel/crowdstrike-outage-flight-delays-airports.html,"While service is slowly recovering, flights are still being canceled and delays can stretch for hours. Here’s the latest on airlines, airports and cruises, as well as your rights and how to reach customer service.","While service is slowly recovering, flights are still being canceled and delays can stretch for hours. Here’s the latest on airlines, airports and cruises, as well as your rights and how to reach customer service.",nyt,crowdstrike_2024,post_ai,nyt_crowdstrike_2024,"While service is slowly recovering, flights are still being canceled and delays can stretch for hours. Here’s the latest on airlines, airports and cruises, as well as your rights and how to reach customer service.",213,True,True,0.0,0.0,0.0,1.0,0.0,0.0
,911 Systems Disrupted in at Least 3 States,Business,https://www.nytimes.com/2024/07/19/business/emergency-911-calls-tech-outage.html,"Emergency call lines were operating in most major cities, but the authorities in Oregon, Alaska and Arizona said some of their systems had been hit by the outage.","Emergency call lines were operating in most major cities, but the authorities in Oregon, Alaska and Arizona said some of their systems had been hit by the outage.",nyt,crowdstrike_2024,post_ai,nyt_crowdstrike_2024,"Emergency call lines were operating in most major cities, but the authorities in Oregon, Alaska and Arizona said some of their systems had been hit by the outage.",162,False,True,0.0,0.0,0.0,1.0,-0.3,0.4
,What to Do if Your Computer Is Affected by the Microsoft Outage,Business,https://www.nytimes.com/2024/07/19/business/fix-computer-microsoft-crowdstrike-outage.html,"A massive outage related to a security update by CrowdStrike, a cybersecurity company, crippled airlines and other businesses on Friday.","A massive outage related to a security update by CrowdStrike, a cybersecurity company, crippled airlines and other businesses on Friday.",nyt,crowdstrike_2024,post_ai,nyt_crowdstrike_2024,"A massive outage related to a security update by CrowdStrike, a cybersecurity company, crippled airlines and other businesses on Friday.",136,False,True,-0.1531,0.0,0.127,0.873,0.0,0.0
,Hospitals Cancel Nonessential Surgeries After Global Technology Outage,Business,https://www.nytimes.com/2024/07/19/business/hospitals-cancel-nonessential-surgeries-global-technology-outage.html,Hospital systems across the country reported I.T. disruptions. A spokesman for Kaiser Permanente called the situation “unprecedented.”,Hospital systems across the country reported I.T. disruptions. A spokesman for Kaiser Permanente called the situation “unprecedented.”,nyt,crowdstrike_2024,post_ai,nyt_crowdstrike_2024,Hospital systems across the country reported I.T. disruptions. A spokesman for Kaiser Permanente called the situation “unprecedented.”,134,False,True,-0.25,0.0,0.222,0.778,0.0,0.0
,How a Software Update Crashed Computers Around the World,Technology,https://www.nytimes.com/interactive/2024/07/19/technology/crowdstrike-outage-explained.html,Here’s a visual explanation for how a faulty software update crippled machines.,Here’s a visual explanation for how a faulty software update crippled machines.,nyt,crowdstrike_2024,post_ai,nyt_crowdstrike_2024,Here’s a visual explanation for how a faulty software update crippled machines.,79,False,True,0.0,0.0,0.0,1.0,0.0,0.0
,Corporate Workers Get a Snow Day in July Because of Outage,Business,https://www.nytimes.com/2024/07/19/business/crowdstrike-microsoft-outage-corporate-workers.html,“Happy international blue screen day.”,“Happy international blue screen day.”,nyt,crowdstrike_2024,post_ai,nyt_crowdstrike_2024,“Happy international blue screen day.”,38,False,True,0.0,0.0,0.0,1.0,0.0,0.0
,A Tech Outage Caused Disruptions Worldwide,Briefing,https://www.nytimes.com/2024/07/19/briefing/tech-outage-worldwide-biden-next-move.html,"Also, Biden vowed to press on as more allies said he should quit. Here’s the latest at the end of Friday.","Also, Biden vowed to press on as more allies said he should quit. Here’s the latest at the end of Friday.",nyt,crowdstrike_2024,post_ai,nyt_crowdstrike_2024,"Also, Biden vowed to press on as more allies said he should quit. Here’s the latest at the end of Friday.",105,False,True,-0.34,0.0,0.324,0.676,0.0,0.0
,"When Tech Fails, It Is Usually With a Whimper Instead of a Bang",Technology,https://www.nytimes.com/2024/07/20/technology/crowdstrike-microsoft-outage-software.html,"While in some corners of Silicon Valley people worry about the risks of A.I., a simple failed software update caused a worldwide outage.","While in some corners of Silicon Valley people worry about the risks of A.I., a simple failed software update caused a worldwide outage.",nyt,crowdstrike_2024,post_ai,nyt_crowdstrike_2024,"While in some corners of Silicon Valley people worry about the risks of A.I., a simple failed software update caused a worldwide outage.",136,False,True,-0.4215,0.0,0.189,0.811,-0.375,0.275
,Flight Delays and Cancellations Continue Saturday but in Lower Numbers,Business,https://www.nytimes.com/2024/07/20/business/tech-outage-flight-delays-cancellations.html,"An estimated 3,400 flights to, from and within the United States were canceled on Friday because of a tech outage. That made it the worst day of the year for flight cancellations.","An estimated 3,400 flights to, from and within the United States were canceled on Friday because of a tech outage. That made it the worst day of the year for flight cancellations.",nyt,crowdstrike_2024,post_ai,nyt_crowdstrike_2024,"An estimated 3,400 flights to, from and within the United States were canceled on Friday because of a tech outage. That made it the worst day of the year for flight cancellations.",179,False,True,-0.4215,0.0,0.237,0.763,0.0,0.0
,How to Guard Against Scams Tied to the CrowdStrike Crash,Business,https://www.nytimes.com/2024/07/20/business/crowdstrike-tech-outage-scams.html,"People posing as airline customer service representatives may be making fraudulent attempts to access your money or private data, experts warn.","People posing as airline customer service representatives may be making fraudulent attempts to access your money or private data, experts warn.",nyt,crowdstrike_2024,post_ai,nyt_crowdstrike_2024,"People posing as airline customer service representatives may be making fraudulent attempts to access your money or private data, experts warn.",143,False,True,-0.7579,0.0,0.448,0.552,0.0,0.0
